Doctor Who season,doctor actor,ep. no,episode title,from ,estimated from,to,estimated?,planet,sub location,location,notes,source,,,,,,,
5,Davison,123,Arc of Infinity,1978,,1983,,"Gallifrey, Earth",,,,,,,,,,,
5,Davison,125,Mawdryn Undead,-1017,,1983,,earth,England,"Brendon, London",,,,,,,,,
5,Davison,131,The Awakening,1643,,1983,,earth,England,Little Hodcombe,,,,,,,,,
7,McCoy,153,Ghost Light ,1883,,1983,,Earth,England,"Gabriel's Chase, Perivale",,,,,,,,,
5,Davison,133,Resurrection of the Daleks,1984,10000000,1984,,earth,England,London,,,,,,,,,
1,Hartnell,29,The Tenth Planet,1986,1671,1986,n,Earth,,South Pole,,http://tardis.wikia.com/wiki/The_Tenth_Planet,,,,,,,
7,McCoy,155,Survival ,1987,1943,1987,,Earth,England,Perivale,,,,,,,,,
9,Eccleston,163,Fathers Day,2005,,1987,,Earth,England,London,,tardis.wikia,,,,,,,
7,McCoy,150,Silver Nemesis ,1606,,1988,,Earth,England,,,,,,,,,,
3,Pertwee,51,Spearhead from Space,1970,,1990,y,Earth,England,London and other,late 20th Century,,,,,,,,
7,McCoy,152,Battlefield ,793,,1993,,Earth,England,Lake Vortigern,,,,,,,,,
1,Hartnell,16,The Chase,1872,,1996,,Earth,Africa,Ghana,,,,,,,,,
11,Smith,1,The Eleventh Hour,1999,,1996,,Earth,England,London,,http://tardis.wikia.com/wiki/The_Eleventh_Hour,,,,,,,
11,Smith,13,The Big Bang,2010,,1996,,Earth,England,"National Museum, London",,http://tardis.wikia.com/wiki/The_Big_Bang,,,,,,,
8,McGann,-,Doctor Who,1999,1987,1999,,Earth,USA,San Francisco,New Year's Eve,,,,,,,,
9,Eccleston,157,Rose,1883,,2005,,Earth,England,London ,,,,,,,,,
9,Eccleston,160,Aliens Of London,2006,1869,2006,,Earth,England,London,,,,,,,,,
9,Eccleston,165,Boom Town,2005,,2006,,Earth,England,Cardiff,,tardis.wikia,,,,,,,
10,Tennant,203,school Reunion,2007,1879,2007,,Earth,England,Deffry Vale,,http://who-transcripts.atspace.com/,,,,,,,
10,Tennant,205,Rise of the Cybermen,2007,1764,2007,,Earth,England,London (Parallel),,http://who-transcripts.atspace.com/,,,,,,,
10,Tennant,306,The Lazarus Experiment,2008,1930,2008,,Earth,England,London,morning after ep 301,http://who-transcripts.atspace.com/,,,,,,,
,Tennant,,,2007,,2008,,Earth,England,London,,,,,,,,,
10,Tennant,312,The Sound of Drums,"100,000,000,000,000",,2008,,Earth,England,Malcassairo and London,,,,,,,,,
10,Tennant,313,Last of the Time Lords,2009,,2008,,Earth,England,Alternative England and London,"*the ep partially takes place in 2009, but this timeline ends up being ""reset"" ",,,,,,,,
10,Tennant,411,Turn Left,2007,2700,2008,,Earth,,London,"added from date, Runaway Bride",,,,,,,,
11,Smith,1,The Eleventh Hour,1996,,2008,,Earth,England,Leadworth,,http://tardis.wikia.com/wiki/The_Eleventh_Hour,,,,,,,
10,Tennant,405,The Poison Sky,2009,4126,2009,,Earth,England,London,,,,,,,,,
10,Tennant,Special,Planet of the Dead,2009,1851,2009,,Earth,,"San Helios, London",,,,,,,,,
10,Tennant,Special,The End of Time - Part 2,2009,,2010,,Earth,,London,,http://tardis.wikia.com/wiki/The_End_of_Time_(TV_story),,,,,,,
11,Smith,1,The Eleventh Hour,2008,,2010,,Earth,England,Leadworth,,http://tardis.wikia.com/wiki/The_Eleventh_Hour,,,,,,,
11,Smith,5,Flesh and Stone,5000,,2010,y,Dundra System to Earth,,Alfava Metraxis to Leadworth,,http://tardis.wikia.com/wiki/Flesh_and_Stone,,,,,,,
11,Smith,7,Amy's Choice,2015,,2010,,Earth,,Leadworth,,http://tardis.wikia.com/wiki/Amy%27s_Choice,,,,,,,
11,Smith,10,Vincent and the Doctor,1890,,2010,,Earth,France,Auvers-sur-Oise to Paris,,http://tardis.wikia.com/wiki/Vincent_and_the_Doctor,,,,,,,
11,Smith,12,The Pandorica Opens,102,,2010,,Earth,England and Planet One,Stonehenge to Leadworth and Planet One,,http://tardis.wikia.com/wiki/The_Pandorica_Opens_%28TV_story%29,,,,,,,
11,Smith,13,The Big Bang,102,,2010,,Earth,England,Stonehenge to Leadworth  ,,http://tardis.wikia.com/wiki/The_Big_Bang,,,,,,,
11,Smith,13,The Big Bang,1996,,2010,,Earth,England,"Aickman Road, Colchester",,http://tardis.wikia.com/wiki/The_Big_Bang,,,,,,,
11,Smith,Special,A Christmas Carol,4300,,2011,y,Earth,USA,,,,,,,,,,
9,Eccleston,161,Dalek,2012,2006,2012,,Earth,USA,Utah,the doctor - dvd at aprox 00:30,,,,,,,,
10,Tennant,209,Fear her,2012,,2012,,Earth,England,London,"27th July for the torch lighting, if you want dates - ms",http://who-transcripts.atspace.com/,,,,,,,
11,Smith,8,The Hungry Earth,2020,2010,2020,,Earth,UK,"Cwmtaff, Wales",,http://tardis.wikia.com/wiki/The_Hungry_Earth,,,,,,,
5,Davison,130,Warriors of the Deep,2084,1982,2084,,earth,,,,,,,,,,,
3,Pertwee,60,Day of the Daleks,1972,,2100,,Earth,England,Auderly House and environs,,http://tardis.wikia.com/wiki/Season_9,,,,,,,
11,Smith,5,The Rebel Flesh,2100,,2100,y,Earth,n/a,n/a,,,,,,,,,
11,Smith,6,The Almost People,2100,,2100,y,Earth,n/a,n/a,,,,,,,,,
7,McCoy,145,Paradise Towers ,2110,1987,2110,,Earth,,,,,,,,,,,
1,Hartnell,10,The Dalek Invasion of Earth,1963,,2164,,Earth,UK,London ,,,,,,,,,
2,Troughton,48,The Seeds Of Death,1970,,2190,y,Earth,UK,"space museum, London; the moon",late 21st century',http://tardis.wikia.com/wiki/The_Seeds_of_Death,,,,,,,
5,Davison,121,Earthshock,2486,,2526,,Earth,,,,,,,,,,,
6,Colin Baker,137,Attack of the Cybermen,1985,,2530,,earth,England,London,,,,,,,,,
5,Davison,126,Terminus,-13700000000,,2683,,earth,,Terminus Station,,,,,,,,,
1,Hartnell,19,Mission to the Unknown,3999,1066,3999,y,Earth,,Kembel,,http://tardis.wikia.com/wiki/Season_Three,,,,,,,
7,McCoy,146,Delta and the Bannermen ,1928,,4687,,Earth,England,South Wales,,,,,,,,,
11,Smith,13,The Big Bang,2010,,5000,y,,,The Byzantium ,,http://tardis.wikia.com/wiki/The_Big_Bang,,,,,,,
11,Smith,12,Closing Time,2011,,5100,y,Earth,,,,,,,,,,,
11,Smith,12,The Pandorica Opens,1941,,5145,,Earth and other planets,,"London to Stormcage Containment Facility, The Royal Collection and The Maldovarium",,http://tardis.wikia.com/wiki/The_Pandorica_Opens_%28TV_story%29,,,,,,,
11,Smith,Special,"The Doctor, the Widow and the Wardrobe",1938,,5345,,Earth,England,,,,,,,,,,
9,Eccleston,158,The End Of The World,2005,,5000000000,,space,,Earth orbit,,,,,,,,,
10,Tennant,311,Utopia,2008,,"100,000,000,000,000",,Earth,England,Cardiff and Malcassairo,,http://who-transcripts.atspace.com/,,,,,,,
SEASON 1,,,,,,,,,,,,,,,,,,,
